,Date.to.use,day,cuml.case,cases,mean.cases
253,12/16/2022,217,,,
254,12/17/2022,218,,,
255,12/18/2022,219,,,
1867,12/19/2022,220,,,
808,12/20/2022,221,,,
2519,12/21/2022,222,,,
256,12/22/2022,223,,,
7161,12/23/2022,224,,,
257,12/24/2022,225,,,
258,12/25/2022,226,,,
259,12/26/2022,227,,,
260,12/27/2022,228,,,
261,12/28/2022,229,,,
262,12/29/2022,230,,,
10031,12/30/2022,231,,,
578,12/31/2022,232,,,
263,1/1/2023,233,,,
264,1/2/2023,234,,,
265,1/3/2023,235,,,
266,1/4/2023,236,,,
411,1/5/2023,237,,,
4371,1/6/2023,238,,,
267,1/7/2023,239,,,
268,1/8/2023,240,,,
495,1/9/2023,241,,,
298,1/10/2023,242,,,
8841,1/11/2023,243,,,
23110,1/12/2023,244,,,
155,1/13/2023,245,,,
269,1/14/2023,246,,,
270,1/15/2023,247,,,
271,1/16/2023,248,,,
9411,1/17/2023,249,,,
4511,1/18/2023,250,,,
